rank_tfidf,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,similitud_tfidf,idioma
194,opcionempleo::15624204046674,opcionempleo,Responsable de Finanzas (Buenos Aires),de Elizalde Desarrollo de Talento,Finanzas / CAPEX,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar975bb36ad529fc359b15624204046674,0.08065736998646257,es
195,opcionempleo::4368112,opcionempleo,Ingeniero/a de Mantenimiento (Pilar),Woodbridge,Ingeniero Industrial,"Pilar, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar2464da4368112ae39c4c89249e9af4ea,0.08035083805273692,es
196,opcionempleo::jobadarcf368f1b5422bcf036be4fc79e0aea73,opcionempleo,Analista de Compras Locales (Buenos Aires),Kompusur,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arcf368f1b5422bcf036be4fc79e0aea73,0.08016097807491696,es
197,opcionempleo::09238,opcionempleo,Customer Service Logistics - Supply Chain (Vicente López),Newsan,Supply Chain,"Vicente López, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arbfe4657d4f846d56dc8e085b5e09238a,0.08014131149375725,es
198,opcionempleo::8399439,opcionempleo,Ingeniero Industrial Yo Mecánico (Rosario),Link Laboral Puerto Norte,Ingeniero Industrial,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar628c0458fe8399439fe46deac0426f11,0.0799389623374993,es
199,opcionempleo::jobadar9b0b465a191e0922b01f9643cb11f384,opcionempleo,Junior Compras,MAIN | Trade Marketing Solutions,Compras / Procurement,"Nuñez, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar9b0b465a191e0922b01f9643cb11f384,0.07989042402062205,es
200,opcionempleo::jobadar3a175f91fb691f322fb3472b6028c9fb,opcionempleo,Analista de Supply Chain & Customer Service,Newsan,Supply Chain,"Munro, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar3a175f91fb691f322fb3472b6028c9fb,0.07981628016344496,es
201,opcionempleo::43465,opcionempleo,Gerente de Operaciones,Michael Page,Gerente de Operaciones,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar6be2721cca04b70fe7bdfc20cda43465,0.07981561453430473,es
202,opcionempleo::4700379,opcionempleo,Gerente general para grupo Gastronómico (Balvanera),PEREZ VERONICA SANDRA,Gerente de Operaciones,"Balvanera, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar8c5c4d2c4700379e5c4a535eb9f4f711,0.07976944866744995,es
203,opcionempleo::25358,opcionempleo,Coordinador de Compras de Servicios,Grassi SA,Compras / Procurement,Santa Fe,,https://www.opcionempleo.com.ar/jobad/ar25358c45d96608dcecdb7277468e5269,0.07973828281388898,es
204,opcionempleo::jobadarcf01b9d95d7c33f9ce894b5f1dc0f8e1,opcionempleo,Data Scientist (Buenos Aires),Cirion Technologies,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arcf01b9d95d7c33f9ce894b5f1dc0f8e1,0.07952992083897216,es
205,opcionempleo::726929,opcionempleo,Analista semi sr de control de gestión (Tigre),INTERNATIONAL CAREER PROGRAM,Control de Gestión,Argentina,,https://www.opcionempleo.com.ar/jobad/ar4801f726929ab31d2d6dfe6e977dc2d9,0.07936490009947712,es
206,bumeran::1118200779,bumeran,Encargado de Compras y mantenimiento,Confidencial,Compras / Procurement,CABA,Híbrido,https://www.bumeran.com.ar/empleos/encargado-de-compras-y-mantenimiento-1118200779.html,0.07929408135470833,es
207,bumeran::1118210470,bumeran,Gerente de administración y finanzas,MB Consultora,Finanzas / CAPEX,"Escobar, Buenos Aires",Presencial,https://www.bumeran.com.ar/empleos/gerente-de-administracion-y-finanzas-mb-consultora-1118210470.html,0.07901464196457803,es
208,opcionempleo::94678496,opcionempleo,Analista De Control De Gestión Jr Buenos Aires,BetWarrior,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar2d2ad1be1a94678496e3c7e288ebb71b,0.07893828516497936,es
209,bumeran::1118174556,bumeran,Gerente de Finanzas y Gestión comercial - Indumentaria,AUREIA,Finanzas / CAPEX,CABA,Híbrido,https://www.bumeran.com.ar/empleos/gerente-de-finanzas-y-gestion-comercial-indumentaria-aureia-1118174556.html,0.07887591358842674,es
210,opcionempleo::3255631,opcionempleo,Ingeniero/a de producto (Zárate),Adecco,Ingeniero Industrial,"Zárate, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arde423c8eaa3255631bfdb03058a612e2,0.078794646025931,es
211,bumeran::1118222796,bumeran,Analista Ssr. de Business Intelligence,Coppel S A,BI / Analytics,"General Pacheco, Buenos Aires",Presencial,https://www.bumeran.com.ar/empleos/analista-ssr.-de-business-intelligence-coppel-s-a-1118222796.html,0.07875614485107484,es
212,opcionempleo::jobadarce47a3c9d0fc2bc7eccfc4bb0243c062,opcionempleo,Gerente De Operaciones San Justo (Argentina),Convocare,Gerente de Operaciones,Argentina,,https://www.opcionempleo.com.ar/jobad/arce47a3c9d0fc2bc7eccfc4bb0243c062,0.07872118680246826,es
213,opcionempleo::6307567,opcionempleo,Gerente de Compras no Productivas (Buenos Aires),Grupo Corven,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ard3e386affaf36f0135f7bc9ca6307567,0.07870626641746728,es
214,opcionempleo::36450,opcionempleo,"Analista de Control de Gestión (BI, Data Analytics y Automatización) Malvinas Argentinas",People Process,Control de Gestión,"Buenos Aires, Argentina",,https://www.opcionempleo.com.ar/jobad/ar9a1e80fa9d36450c26f9945896bdb935,0.07845864823041711,es
215,bumeran::1118191777,bumeran,Analista de Supply Chain,Neo-Biz,Supply Chain,"Alvear, Santa Fe",Presencial,https://www.bumeran.com.ar/empleos/analista-de-supply-chain-neo-biz-1118191777.html,0.07821489352386542,es
216,opcionempleo::22217,opcionempleo,Ingeniero Industrial (Mendoza),Gastrosud,Ingeniero Industrial,Mendoza,,https://www.opcionempleo.com.ar/jobad/are5f89cad966bba02f259f22217b3e815,0.07813174968741243,es
217,opcionempleo::jobadard41bfdb2bb4b422d320fe3f2fb2115ea,opcionempleo,Director de Prestaciones de Salud y Operaciones (Rosario),Taxia Recruitment,Gerente de Operaciones,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ard41bfdb2bb4b422d320fe3f2fb2115ea,0.07805838021414131,es
218,bumeran::1118188993,bumeran,ANALISTA DE COMPRAS,Confidencial,Compras / Procurement,CABA,Presencial,https://www.bumeran.com.ar/empleos/analista-de-compras-1118188993.html,0.07796379820417741,es
219,bumeran::1118201246,bumeran,Analista de Control de Gestión Logístico,GA.Ma Italy,Control de Gestión,"San Isidro, Buenos Aires",Híbrido,https://www.bumeran.com.ar/empleos/analista-de-control-de-gestion-logistico-ga.ma-italy-1118201246.html,0.0778853186078336,es
220,opcionempleo::jobadar98e7ddef81f0ab4084ed4826dfa038bc,opcionempleo,Director De Prestaciones De Salud Y Operaciones,Taxia Recruitment,Gerente de Operaciones,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar98e7ddef81f0ab4084ed4826dfa038bc,0.07772159912873362,es
221,opcionempleo::91842159813,opcionempleo,Analista de Supply Chain,NEO BIZ S. R. L.,Supply Chain,"Santa Fe Alvear, Corrientes",,https://www.opcionempleo.com.ar/jobad/ar8fe561c24aca3b29c0c91842159813ae,0.077582952706251,es
222,opcionempleo::423288382,opcionempleo,Analista Sr de Control de Gestión - Búsqueda (Buenos Aires),Mirgor,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ardff423288382bf97adae8ad0740260e6,0.07740234608175829,es
223,opcionempleo::58781,opcionempleo,JEFE PLANIFACIÓN Y CONTROL DE GESTION FINANCIERO (Buenos Aires),YPF,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar2836ba3a2dc58781b8c38b453aa80156,0.07729568559238978,es
224,opcionempleo::552707,opcionempleo,Gerente de Administración y Finanzas (Buenos Aires),Maria Gabriela Panzitta,Finanzas / CAPEX,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar3410ea15ab76ca1b620e47d552707ee4,0.07725072248840101,es
225,opcionempleo::51455968102,opcionempleo,Gerente de Repuestos (Buenos Aires),Nosotros,Gerente de Operaciones,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar51455968102b89da970be4be38033cf2,0.0771685657011532,es
226,opcionempleo::981299730,opcionempleo,Analista de Compras Generales (Buenos Aires),Honda,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar9cccfa7bf7d377bd981299730ca223e7,0.07707330811046151,es
227,opcionempleo::010088,opcionempleo,Analista Ssr De Business Intelligence General Pacheco,Coppel,BI / Analytics,Argentina,,https://www.opcionempleo.com.ar/jobad/ar1f010088f26f008645e6fc311819e9bc,0.07687366657894971,es
228,opcionempleo::3818429,opcionempleo,Asistente de Compras (San Nicolás),,Compras / Procurement,"San Nicolás, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arca4b8fdd613bf9f3818429eb7cb574af,0.07677373255359278,es
229,bumeran::1118223572,bumeran,Business Intelligence Senior (Data Planning) - Híbrido - 1822,Aliantec,BI / Analytics,CABA,Híbrido,https://www.bumeran.com.ar/empleos/business-intelligence-senior-data-planning-hibrido-1822-aliantec-1118223572.html,0.07673286223160654,es
230,opcionempleo::687630,opcionempleo,Analista Compras Buenos Aires,FAIP SAIC,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar5eaba4934f17d6a2f425dee687630d96,0.07670254507042924,es
231,opcionempleo::jobadar9eba0bec2204aa0a3825a4889e8d0b2e,opcionempleo,Responsable de Administración y Finanzas (Rosario),MEC Consultores,Finanzas / CAPEX,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar9eba0bec2204aa0a3825a4889e8d0b2e,0.07661534557267721,es
232,opcionempleo::729924,opcionempleo,Business Intelligence Senior (Data Planning) - Híbrido,Aliantec,BI / Analytics,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar47f3cf21ea729924beca3327a0f6fe95,0.07659925823712202,es
233,opcionempleo::jobadar4f58f2f0cc06fc98d0aefbe9f936c5f6,opcionempleo,Líder Control de Gestión (Buenos Aires),,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar4f58f2f0cc06fc98d0aefbe9f936c5f6,0.07617985930864056,es
234,opcionempleo::45770634300,opcionempleo,Jefe/a de Compras,,Compras / Procurement,"Vicente López, Provincia de Buenos Aires Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arb45770634300c9c9ea08e5a1cd49efb6,0.07593966417215692,es
235,bumeran::1118219626,bumeran,Referente de compras,Grupo Médico Santa Bárbara,Compras / Procurement,"Avellaneda, Buenos Aires",Presencial,https://www.bumeran.com.ar/empleos/referente-de-compras-grupo-medico-santa-barbara-1118219626.html,0.07589464200071949,es
236,opcionempleo::41460,opcionempleo,Ingeniero Industrial Electromecánico Córdoba,Hand Selection,Ingeniero Industrial,Córdoba,,https://www.opcionempleo.com.ar/jobad/ar5e0b8c1f5ede41460ae7f43556daf5f9,0.07581710096012824,es
237,opcionempleo::531171,opcionempleo,Ingeniero Industrial 203156 Permanente,Manpower,Ingeniero Industrial,San Luis,,https://www.opcionempleo.com.ar/jobad/ar80f6b358dd462a4540dad8ed0e531171,0.07572982931304037,es
238,opcionempleo::350497327,opcionempleo,Gerente de Operaciones - Mar del Plata y Gran Buenos Aires,Soledad perez,Gerente de Operaciones,"Mar del Plata, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/are4abaff350497327be051651477ae959,0.07571851338105878,es
239,opcionempleo::jobadar9351ce76d6a4409f7d2b7dc60e9720bc,opcionempleo,Gerente de Operaciones - Mar del Plata y Gran Buenos Aires,Simplia,Gerente de Operaciones,"Mar del Plata, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar9351ce76d6a4409f7d2b7dc60e9720bc,0.07571851338105878,es
240,opcionempleo::4907887,opcionempleo,Analista de Control de Gestión (Buenos Aires),Eym Consultora,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar2f5a1e4907887c321ec1af3eae9cae82,0.07559430691193916,es
241,opcionempleo::jobadar7de663bdec28f7e23eaa8beda1cea366,opcionempleo,Gerente de Operaciones - Mar del Plata y Gran Buenos Aires,,Gerente de Operaciones,"Mar del Plata, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar7de663bdec28f7e23eaa8beda1cea366,0.0755722666178093,es
242,opcionempleo::577180,opcionempleo,Administrativa de compras part time (Buenos Aires),Adecco,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar85c577180dfbbbea5c8a8b756e836ef5,0.0752860387579766,es
243,bumeran::1118185236,bumeran,Analista de Compras,Confidencial,Compras / Procurement,"Tigre, Buenos Aires",Presencial,https://www.bumeran.com.ar/empleos/analista-de-compras-1118185236.html,0.07527192798143066,es
244,opcionempleo::16706,opcionempleo,Analista Sr Finanzas (Buenos Aires),T&T Trabajo y Talento,Finanzas / CAPEX,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar16706c269360799eaad4621d0d73cbbb,0.07494176913775288,es
245,opcionempleo::5331839,opcionempleo,Analista Ssr. de Business Intelligence (Tigre),Coppel,BI / Analytics,Argentina,,https://www.opcionempleo.com.ar/jobad/ar04a3dd4130c72fdbb77e7d5331839b35,0.07493012101137242,es
246,opcionempleo::16452088,opcionempleo,Ingeniero De Automatización Industrial Buenos Aires,Somos Yellow,Ingeniero Industrial,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar7211a85caa34e16452088f0db4625d8f,0.07473594523755642,es
247,opcionempleo::21324,opcionempleo,Analista De Control De Gestión: Reportes E Indicadores Buenos Aires (Argentina),,Control de Gestión,Argentina,,https://www.opcionempleo.com.ar/jobad/arbf9c6946be95e4d21324aa4e744e8512,0.07452044590737027,es
248,opcionempleo::jobadar0f25e0942e5e065f7d055ebd532b99e4,opcionempleo,Ingeniera Para Mantenimiento Neuquén,SLB,Ingeniero Industrial,Neuquén,,https://www.opcionempleo.com.ar/jobad/ar0f25e0942e5e065f7d055ebd532b99e4,0.07415798968652622,es
249,opcionempleo::47553,opcionempleo,Jefe de Compras (Mendoza),Label Solutions,Compras / Procurement,Mendoza,,https://www.opcionempleo.com.ar/jobad/areb1c7b71d1854c47553ed46469362c77,0.07412824086757161,es
250,opcionempleo::964275,opcionempleo,Analista de Compras (Rosario),Leiva & Asociados,Compras / Procurement,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar0c8abfa0e5eaa5bfd580b8b68f964275,0.07349318651854311,es
251,opcionempleo::jobadarb10f0e39a08e9f4762f2db10b42d067a,opcionempleo,Responsable de Administración y Finanzas - Rubro Salud (Santa Fe de la Vera Cruz),LUMINA ✨ Consultora de Talento,Finanzas / CAPEX,Santa Fe,,https://www.opcionempleo.com.ar/jobad/arb10f0e39a08e9f4762f2db10b42d067a,0.07298074377145211,es
252,bumeran::1118047785,bumeran,Gerente de Operaciones para empresa de Seguridad,Confidencial,Gerente de Operaciones,CABA,Híbrido,https://www.bumeran.com.ar/empleos/gerente-de-operaciones-para-empresa-de-seguridad-1118047785.html,0.0729263413867809,es
253,opcionempleo::0002585,opcionempleo,Gerente De Operaciones Buenos Aires (Argentina),Convocare,Gerente de Operaciones,Argentina,,https://www.opcionempleo.com.ar/jobad/arce9c8af24cf0002585f336c1053ad53d,0.07288763531748968,es
254,opcionempleo::348353398,opcionempleo,Ingeniero de automatizacion industrial (Córdoba),TEKNIX ARG S R L,Ingeniero Industrial,Argentina,,https://www.opcionempleo.com.ar/jobad/arade1982eeaf4493f348353398c65dfe8,0.07280732940998966,es
255,opcionempleo::377864,opcionempleo,Ingeniero de automatizacion industrial,TEKNIX ARG S R L,Ingeniero Industrial,Córdoba,,https://www.opcionempleo.com.ar/jobad/ara377864a615e44530964878034b8fef4,0.07265619246255534,es
256,opcionempleo::9414588,opcionempleo,Senior Data Scientist (Buenos Aires),ubimia®,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arb1e9539d439a8b9414588f9914aa0e1a,0.07216659159204872,es
257,linkedin::4400568967,linkedin,Inventory Analyst,Bausch + Lomb,Compras / Procurement,Estados Unidos,,https://www.linkedin.com/jobs/view/4400568967,0.0721003925276596,es
258,opcionempleo::87342790,opcionempleo,Ingeniero Industrial / Electromecanico,Gerentes SRL,Ingeniero Industrial,Córdoba,,https://www.opcionempleo.com.ar/jobad/ar87342790be1da08d04883fc21b95271b,0.07187805215214295,es
259,bumeran::1118165314,bumeran,Analista Supply Chain,Confidencial,Supply Chain,Apto discapacidad,Híbrido,https://www.bumeran.com.ar/empleos/analista-supply-chain-1118165314.html,0.07176009450515616,es
260,opcionempleo::jobadarddfd829a77cf00beff2d1fcfc424d2a6,opcionempleo,Ingeniero de Explotación (Oil&gas - Bs. As.) (Buenos Aires),Human Consulting,Ingeniero Industrial,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arddfd829a77cf00beff2d1fcfc424d2a6,0.07173891747602969,es
261,opcionempleo::jobadarffd89f257dc75a396f67a25c8b8ef4ee,opcionempleo,Ssr Data Scientist Buenos Aires,Cirion Technologies,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arffd89f257dc75a396f67a25c8b8ef4ee,0.07135711436021688,es
262,opcionempleo::jobadar80e844c9dbcc52d32e617e1a815e6fdd,opcionempleo,Analista Adm. contratos y presupuestos-Exclusivo personas con discapacidad,Coca-Cola FEMSA,Excel / VBA,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar80e844c9dbcc52d32e617e1a815e6fdd,0.07096797090577697,es
263,opcionempleo::234645,opcionempleo,Pasante de Logística - Supply Chain y Operaciones (Buenos Aires),Siemens,Supply Chain,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar576fb630f234645a99e20109eb4b9cdb,0.07072831366641377,es
264,bumeran::1118223167,bumeran,Gerente de Finanzas,Confidencial,Finanzas / CAPEX,CABA,Presencial,https://www.bumeran.com.ar/empleos/gerente-de-finanzas-1118223167.html,0.07072512075909199,es
265,opcionempleo::jobadar485ede01d762e124f46dece15eb79f23,opcionempleo,Senior Dev With Python Y React,Lean Improvements,Python Developer,"Venado Tuerto, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar485ede01d762e124f46dece15eb79f23,0.0706544183407004,es
266,bumeran::1118216744,bumeran,Gerente de administración y finanzas,Alianza Estrategica,Finanzas / CAPEX,"Escobar, Buenos Aires",Presencial,https://www.bumeran.com.ar/empleos/gerente-de-administracion-y-finanzas-alianza-estrategica-1118216744.html,0.0705409618654964,es
267,opcionempleo::119154,opcionempleo,Gerente de administración y finanzas (Belén de Escobar),Nosotros,Gerente de Operaciones,"Belén de Escobar, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar119154f1388b91b68365acd53866a7c8,0.07052652924663091,es
268,opcionempleo::160692,opcionempleo,Ingeniero Mecánico Industria Alimenticia Buenos Aires,lic.solchaga,Ingeniero Industrial,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar751e5adfc9c58bc160692e1c08980fbd,0.07046191871116865,es
269,opcionempleo::77824,opcionempleo,Analista de Compras Productivas (Buenos Aires),COTECSUD COMPANIA TECNICA SUDAMERIC,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar761ed77824db282a6ed54ca182c37850,0.07024524199660821,es
270,opcionempleo::jobadar0ed979dd1f1065b971d101d14d3d84d1,opcionempleo,Analista Supply Chain (Comex) Permanente (Don Torcuato),Manpower,Supply Chain,Argentina,,https://www.opcionempleo.com.ar/jobad/ar0ed979dd1f1065b971d101d14d3d84d1,0.07013329620417427,es
271,bumeran::1118163010,bumeran,Adminsitrativo sector Compras,Confidencial,Compras / Procurement,CABA,Presencial,https://www.bumeran.com.ar/empleos/adminsitrativo-sector-compras-1118163010.html,0.06998705186521523,es
272,bumeran::1118165460,bumeran,Analista de Compras y Comercio Exterior – Moreno,Adecco - Permanent Talent,Compras / Procurement,"Moreno, Buenos Aires",Presencial,https://www.bumeran.com.ar/empleos/analista-de-compras-y-comercio-exterior--moreno-adecco-permanent-talent-1118165460.html,0.06988364847174733,es
273,opcionempleo::534426,opcionempleo,Analista De Control De Gestión Victoria,NEO BIZ S. R. L.,Control de Gestión,Argentina,,https://www.opcionempleo.com.ar/jobad/aree62c97e80e534426ba218d30cf469cc,0.06987631319008462,es
274,opcionempleo::jobadar27b9ba431c1864e097e409e5eea013a2,opcionempleo,Supply Chain Finance Analyst,Mars,Supply Chain,"Mercedes, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar27b9ba431c1864e097e409e5eea013a2,0.06987219819499497,es
275,opcionempleo::90998,opcionempleo,Analista de Compras (Buenos Aires),Latorre Seleccion de Personal,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar6e90998a9d6a3e30c724b973e4873d59,0.06970779453160596,es
276,opcionempleo::71391,opcionempleo,Analista Supply Chain (Tigre),COTECSUD COMPANIA TECNICA SUDAMERIC,Supply Chain,Argentina,,https://www.opcionempleo.com.ar/jobad/ardab71391e499053ea9b82c6f1b3d9277,0.06967541189280804,es
277,opcionempleo::5778622,opcionempleo,Analista de Calidad - Importante Empresa Industrial (Esteban Echeverría),Talent Solutions RRHH,Ingeniero Industrial,"Esteban Echeverría, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar647a5778622a54319c7029dd77d3819c,0.06964393755457696,es
278,bumeran::1118161495,bumeran,Analista de Compras Generales,Unión Personal,Compras / Procurement,CABA,Presencial,https://www.bumeran.com.ar/empleos/analista-de-compras-generales-union-personal-1118161495.html,0.06938477728981007,es
279,opcionempleo::2504670,opcionempleo,Responsable De Control De Gestión Neuquén,Patagonia Resources,Control de Gestión,Neuquén,,https://www.opcionempleo.com.ar/jobad/ar2dad2504670d4c3cb5ace46f7cba5cc3,0.069163570773159,es
280,opcionempleo::89242,opcionempleo,Desarrollador Fullstack Python Senior (Argentina) (M),Reklut,Python Developer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar89242f23df0ba31994728ee2366df008,0.06910543198871988,es
281,opcionempleo::jobadar91f377deb1df6a3a05a69be8333b32c7,opcionempleo,"Programador Especializado en FSH, FHIR. Python ypara el Sector Salud (Santiago del Estero)",DaBrein Solutions,Python Developer,Santiago del Estero,,https://www.opcionempleo.com.ar/jobad/ar91f377deb1df6a3a05a69be8333b32c7,0.0690372393214404,es
282,opcionempleo::1365491,opcionempleo,Supply Chain (José C. Paz),GI GROUP SEARCH & SELECTION,Supply Chain,"José C. Paz, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar7d8768e72f0e8bf6ffcf4875b1365491,0.06903458706208938,es
283,opcionempleo::jobadar6b4c0fff21ad0b38c28b7f1857ef113a,opcionempleo,Líder Finanzas Corporativas (Rosario),Grupo FYO,Finanzas / CAPEX,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar6b4c0fff21ad0b38c28b7f1857ef113a,0.06901963422155769,es
284,bumeran::1118149985,bumeran,Supply Chain,GI GROUP Argentina,Supply Chain,"Tortuguitas, Buenos Aires",Presencial,https://www.bumeran.com.ar/empleos/supply-chain-gi-group-argentina-1118149985.html,0.06898689681606066,es
285,opcionempleo::jobadarefd22c09df80db437e5ee39b07a0c496,opcionempleo,"Programador Especializado en FSH, FHIR. Python ypara el Sector Salud (Lomas de Zamora)",DaBrein Solutions,Python Developer,"Lomas de Zamora, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arefd22c09df80db437e5ee39b07a0c496,0.06897627908119561,es
286,opcionempleo::jobadar293bfb845ee00e5e49a0af878cf04fd3,opcionempleo,Redactor/a Técnico/a de Documentación de Servicio (Inglés avanzado),Siemens,Excel / VBA,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar293bfb845ee00e5e49a0af878cf04fd3,0.06885352099334074,es
287,opcionempleo::9744934,opcionempleo,Jefe De Operaciones Logísticas - Sucursal Catamarca,Chaxxel,Gerente de Operaciones,"San Fernando, Provincia de Buenos Aires Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar6a5b7ca2126aac9744934ab9595b2d99,0.0687497548241379,es
288,opcionempleo::122731816851,opcionempleo,Analista de Compras Sr. (Escobar),Vision Outsourcers,Compras / Procurement,"Escobar, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar7291e122731816851a499cef9401278f,0.06871771145712831,es
289,opcionempleo::495131,opcionempleo,Analista de Supply Chain (Buenos Aires),Saputo,Supply Chain,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar56d6d7fea2ea8e94d69f1bb495131a73,0.0686391838228679,es
290,opcionempleo::71035,opcionempleo,Gerente de Operaciones - Rubro Seguridad Electrónica (San Isidro),In Move Consulting,Gerente de Operaciones,"San Isidro, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar71035b32d20105d2afbc6d87971d149e,0.0682923065562122,es
291,opcionempleo::jobadar47fa201d7c5eeb5a0cc1e17d4d5c38a8,opcionempleo,Gerente de Operaciones y Desarrollo - Presencial (CABA),StaffRock IT,Gerente de Operaciones,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar47fa201d7c5eeb5a0cc1e17d4d5c38a8,0.06814568696026518,es
292,opcionempleo::660161109,opcionempleo,comprador a Ingeniero a Industrial Comex,TECNIAS SRL,Ingeniero Industrial,Córdoba,,https://www.opcionempleo.com.ar/jobad/ar357b2dd4d660161109eed47585c09fe2,0.06806667832707163,es
293,opcionempleo::01940,opcionempleo,Supply Chain Finance Analyst (Mercedes),Mars,Supply Chain,Argentina,,https://www.opcionempleo.com.ar/jobad/ar3e01940fda6f18ea46c6e59986684b90,0.06805927003623648,es
294,opcionempleo::129156,opcionempleo,Analista Ssr. de Business Intelligence (Buenos Aires),,BI / Analytics,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arf129156d721e3afdbfe5cd17606278a3,0.06799487902124725,es
295,opcionempleo::931604,opcionempleo,Analista de Finanzas Regional (Vicente López),SAS Consultora de Empresas,Finanzas / CAPEX,"Vicente López, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar116faa624d38d931604d360249b89e4d,0.06797191934837658,es
296,opcionempleo::516092,opcionempleo,Gerente de Administración y Operaciones,Randstad,Gerente de Operaciones,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar4d5db306f390e1e516092fd94c128d40,0.06790175737918966,es
297,opcionempleo::645773,opcionempleo,Analista De Control De Gestión Buenos Aires (Argentina),,Control de Gestión,Argentina,,https://www.opcionempleo.com.ar/jobad/arec645773de12446edf4b6b2e87844556,0.0677808148990541,es
298,opcionempleo::9643148,opcionempleo,Analista Compras Jr Buenos Aires,Con Mor,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arf71f6a0c4456b5403a421c9643148e50,0.06775232818689819,es
299,opcionempleo::47036,opcionempleo,Responsable de Contabilidad y Control de Gestión (Buenos Aires),Aliancers,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar2f47036d584102194b92c99a543883bd,0.06765565604286922,es
300,bumeran::1118197987,bumeran,Analista de Compras IT,Laboratorios Raffo,Compras / Procurement,"Munro, Buenos Aires",Híbrido,https://www.bumeran.com.ar/empleos/analista-de-compras-it-laboratorios-raffo-1118197987.html,0.067548814352349,es
