rank_embed,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,similitud_embed
25,opcionempleo::042728,opcionempleo,Gerente de logística & supply chain,MB Consultora de RRHH,Supply Chain,"Escobar, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar463cf042728c0d98d11a2b6d17465002,0.4694308
26,opcionempleo::129156,opcionempleo,Analista Ssr. de Business Intelligence (Buenos Aires),,BI / Analytics,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arf129156d721e3afdbfe5cd17606278a3,0.4687705
27,opcionempleo::00454398,opcionempleo,Ingeniero de Sistema de Control,,Ingeniero Industrial,"Susques, Jujuy",,https://www.opcionempleo.com.ar/jobad/ar00454398f30eb4e1cb4e2a7730e1d334,0.46308282
28,opcionempleo::42399,opcionempleo,Gerente De Compras Y Abastecimiento Buenos Aires,ViaSano Salud,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar885b20b6cabae42399e59b014091bebe,0.46260703
29,opcionempleo::jobadar095ef5dea1f4a28fa605b12e75d6fb8e,opcionempleo,Responsable de Administración y Finanzas (Rosario),Link Laboral Puerto Norte,Finanzas / CAPEX,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar095ef5dea1f4a28fa605b12e75d6fb8e,0.45805693
30,opcionempleo::74392,opcionempleo,Responsable de Administración y Finanzas Rosario(zona Oeste),Link Laboral Puerto Norte,Finanzas / CAPEX,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/arc74392e49753e29dcdadebc3e6573cec,0.45744213
31,opcionempleo::772471,opcionempleo,Pasante - Supply chain,Cargill,Supply Chain,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar83cd5ce50a772471d5e1e514f51cba1c,0.4548368
32,opcionempleo::73104867,opcionempleo,Jefe de proyecto/Desarrollador/Diseño Industrial para Metalurgica (ingeniero),RH Consultores,Ingeniero Industrial,"Merlo, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar435e73104867aa14077e980bc408d403,0.45425448
33,opcionempleo::jobadar485ede01d762e124f46dece15eb79f23,opcionempleo,Senior Dev With Python Y React,Lean Improvements,Python Developer,"Venado Tuerto, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar485ede01d762e124f46dece15eb79f23,0.45190918
34,opcionempleo::69390464,opcionempleo,"Desarrollador Python Senior, Remoto Argentina, Id #00229 Mar Del Plata",Werben HR,Python Developer,"Mar del Plata, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ard69390464fbb028d021ac47b00de2fc4,0.4446389
35,opcionempleo::01992,opcionempleo,"Desarrollador Python Senior, Remoto Argentina, Id #00229 Mendoza",Werben HR,Python Developer,Mendoza,,https://www.opcionempleo.com.ar/jobad/ard10bfd7255c1d731f01992c61550f81a,0.444632
36,opcionempleo::25898199,opcionempleo,"Desarrollador Python Senior, Remoto Argentina, Id #00229 Lomas De Zamora",Werben HR,Python Developer,"Lomas de Zamora, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar58a4d5e0ba08b25898199b271a5d1cf7,0.44463015
37,opcionempleo::0926561153462,opcionempleo,"Desarrollador Python Senior, Remoto Argentina, Id #00229 Zárate",Werben HR,Python Developer,"Zárate, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar5609b4c7e0926561153462f321177f29,0.44458368
38,opcionempleo::jobadarc5bc86a307bf1a0fe954b77ae6f403d0,opcionempleo,"Desarrollador Python Senior, Remoto Argentina, Id #00229 Pilar",Werben HR,Python Developer,"Pilar, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arc5bc86a307bf1a0fe954b77ae6f403d0,0.44453758
39,opcionempleo::06599027025,opcionempleo,"Desarrollador Python Senior, Remoto Argentina, Id #00229 San Juan",Werben HR,Python Developer,San Juan,,https://www.opcionempleo.com.ar/jobad/ar219bf2f7ca06599027025ddd5c4cfb97,0.4445263
40,opcionempleo::7990455,opcionempleo,"Desarrollador Python Senior, Remoto Argentina, Id #00229 San Luis",Werben HR,Python Developer,San Luis,,https://www.opcionempleo.com.ar/jobad/ar57bb2e7990455c0a8d98ab9e8940c474,0.44444633
41,linkedin::4399442828,linkedin,Fullstack JavaScript Developer - Latin America - Remote,Azumo,Python Developer,"Rosario, Santa Fe",,https://www.linkedin.com/jobs/view/4399442828,0.44443965
42,opcionempleo::01257,opcionempleo,"Desarrollador Python Senior, Remoto Argentina, Id #00229 Quilmes",Werben HR,Python Developer,"Quilmes, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arf8ae890cd01257d3834f77b59c6dcce2,0.44438022
43,opcionempleo::4985828,opcionempleo,Control De Gestión / Costos Buenos Aires,Pan American Energy,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ara4985828f160a558191a7d55b5ff35d8,0.44334465
44,opcionempleo::86030553,opcionempleo,Gerente de Supply Chain (Provincia de Buenos Aires),Knauf,Supply Chain,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar24e00e1b86030553f9a4d78c3b2ce249,0.43943778
45,bumeran::1118201246,bumeran,Analista de Control de Gestión Logístico,GA.Ma Italy,Control de Gestión,"San Isidro, Buenos Aires",Híbrido,https://www.bumeran.com.ar/empleos/analista-de-control-de-gestion-logistico-ga.ma-italy-1118201246.html,0.43771577
46,opcionempleo::040511,opcionempleo,Tecnico de Servicio Maquinaria Pesada,Vanguardia Consultores RR.HH,Excel / VBA,"Grand Bourg, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar040511ec85a7bb7010ef9edbb286147b,0.43635714
47,opcionempleo::16359,opcionempleo,Planificador/a y Programador/a de Mantenimiento,Grassi SA,Excel / VBA,Santa Fe,,https://www.opcionempleo.com.ar/jobad/ar16359cab65b8ac2ffe0ebcb5fb8c9fe1,0.43487886
48,opcionempleo::16452088,opcionempleo,Ingeniero De Automatización Industrial Buenos Aires,Somos Yellow,Ingeniero Industrial,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar7211a85caa34e16452088f0db4625d8f,0.43221983
49,opcionempleo::jobadar07dfda58d3eff2b289ae50bd24a50b53,opcionempleo,Líder De Finanzas Y Operación Hotelera Patagonia Austral Ref El Calafate,Nosotros,Finanzas / CAPEX,"El Calafate, Santa Cruz",,https://www.opcionempleo.com.ar/jobad/ar07dfda58d3eff2b289ae50bd24a50b53,0.43005595
50,opcionempleo::jobadar8969b3dcc6c0b7bc21e83d63de3262d9,opcionempleo,Associate Business Intelligence Developer (Buenos Aires),Assurant,BI / Analytics,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar8969b3dcc6c0b7bc21e83d63de3262d9,0.4264037
51,linkedin::4395867261,linkedin,Data Scientist,Analytica,Data Scientist,"Bethesda, Maryland, Estados Unidos",,https://www.linkedin.com/jobs/view/4395867261,0.42109993
52,opcionempleo::jobadar80e844c9dbcc52d32e617e1a815e6fdd,opcionempleo,Analista Adm. contratos y presupuestos-Exclusivo personas con discapacidad,Coca-Cola FEMSA,Excel / VBA,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar80e844c9dbcc52d32e617e1a815e6fdd,0.41982612
53,bumeran::1118130320,bumeran,Analista de Compras Sr,AV Evoluciona Consultoría,Compras / Procurement,"Gran Buenos Aires, Buenos Aires",Híbrido,https://www.bumeran.com.ar/empleos/analista-de-compras-sr-av-evoluciona-consultoria-1118130320.html,0.41977438
54,opcionempleo::44261,opcionempleo,Analista de Control de Gestion Hhc (Munro),Air Liquide,Control de Gestión,Argentina,,https://www.opcionempleo.com.ar/jobad/are7b0ce2e3c0d1bf088c6e44261a38944,0.41882104
55,opcionempleo::jobadar569faa4facf1deb4a6e88e60ae81cf4f,opcionempleo,Consultor Funcional Finanzas (Buenos Aires),Witbor,Finanzas / CAPEX,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar569faa4facf1deb4a6e88e60ae81cf4f,0.4152139
56,opcionempleo::jobadarde22f558ffc9faced08d086d672a354b,opcionempleo,Responsable de Compras (Quilmes),MCO Nexo Laboral,Compras / Procurement,"Quilmes, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arde22f558ffc9faced08d086d672a354b,0.41486362
57,opcionempleo::126826685,opcionempleo,Ingeniero industrial Especialista en compras,TERCOM SRL,Ingeniero Industrial,Argentina,,https://www.opcionempleo.com.ar/jobad/arfd003f5fb126826685e8e847a7a5f27e,0.41330788
58,linkedin::4398550762,linkedin,Manager of Customer Success,Connexall,Continuous Improvement,Estados Unidos,,https://www.linkedin.com/jobs/view/4398550762,0.41268438
59,bumeran::1118181842,bumeran,"Jefe/a de Administración, Contabilidad y Finanzas",Confidencial,Finanzas / CAPEX,CABA,Presencial,https://www.bumeran.com.ar/empleos/jefe-a-de-administracion-contabilidad-y-finanzas-1118181842.html,0.41033405
60,linkedin::4394335081,linkedin,SAP Finance Expert SM016DL,Coderio | Software Company,BI / Analytics,"Rosario, Santa Fe",,https://www.linkedin.com/jobs/view/4394335081,0.4097574
61,opcionempleo::jobadar9b68a5c0317c9a9fd6165f48cf8ab166,opcionempleo,Gestor de cobros Con excel avanzado (Buenos Aires),Grupo PROEDUCA,Excel / VBA,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar9b68a5c0317c9a9fd6165f48cf8ab166,0.4090965
62,opcionempleo::23691,opcionempleo,Data Scientist / Ml Engineer Sr. (Mantenimiento Predictivo),,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arcde7c1a458dee2b53e861e7f23691dce,0.40871286
63,opcionempleo::jobadarde63b134c9ac027a36f14a620f2a2033,opcionempleo,Analista de compras productivas,Consultores de Empresas,Compras / Procurement,Córdoba,,https://www.opcionempleo.com.ar/jobad/arde63b134c9ac027a36f14a620f2a2033,0.4084795
64,opcionempleo::160288,opcionempleo,Responsable de Compras (Rosario),ROSARIO BIO ENERGY,Compras / Procurement,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/arda160288d2ec3c3625b345b9fdeafe69,0.40626764
65,opcionempleo::jobadarb1ff928fc52b86b8a781f00fa7efd5e4,opcionempleo,"ANALISTA DE COMPRAS JUNIOR CON INGLÉS, Zona Malvinas Argentinas (Almirante Brown)",Alejandra Castillo,Compras / Procurement,"Almirante Brown, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arb1ff928fc52b86b8a781f00fa7efd5e4,0.40541738
66,opcionempleo::338004,opcionempleo,Administrativo de Compras (Buenos Aires),Scienza Argentina,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar1a8785f1675fb338004e7796f6cd669a,0.4052672
67,opcionempleo::7940847662,opcionempleo,Sr Python Software Engineer (Buenos Aires),Santander,Python Developer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/areabf7940847662a0cbdd1d02ceaa99f5,0.40344805
68,opcionempleo::8890864,opcionempleo,Joven Profesional Finanzas (Buenos Aires),Louis Dreyfus Company,Finanzas / CAPEX,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar457f200ecc7d73de0d8890864d0f7270,0.4019783
69,opcionempleo::722850,opcionempleo,Pasante - Supply chain (Rosario),Cargill,Supply Chain,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar929dd722850c60900de0cf688d6c960c,0.40141064
70,opcionempleo::40220,opcionempleo,Analista de Compras (Buenos Aires),Diagnóstico Maipú,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar400edb18b32dd3542c60d40220d97e71,0.3999799
71,opcionempleo::687630,opcionempleo,Analista Compras Buenos Aires,FAIP SAIC,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar5eaba4934f17d6a2f425dee687630d96,0.39900798
72,opcionempleo::7585001,opcionempleo,Ingeniero Industrial Mecánico (Lanús),DelfosHR (Consultora de RRHH),Ingeniero Industrial,"Lanús, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arb5eb082ff7585001f61d6ac83724df35,0.3982195
73,opcionempleo::783128,opcionempleo,Business Intelligence Engineer (Argentina),Trinetix,BI / Analytics,Argentina,,https://www.opcionempleo.com.ar/jobad/ara9b47e6829ad783128d14f56d76a0886,0.39794278
74,opcionempleo::43465,opcionempleo,Gerente de Operaciones,Michael Page,Gerente de Operaciones,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar6be2721cca04b70fe7bdfc20cda43465,0.3917718
75,opcionempleo::04780323,opcionempleo,Asistente de compras para desarrollo de productos Part Time (San Nicolás de Los Arroyos),Ceta Capital Humano,Compras / Procurement,"San Nicolás de los Arroyos, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar07d8d04780323cd308d040fe969266a4,0.38977325
76,opcionempleo::1357814,opcionempleo,Gerente Supply Chain Jr Buenos Aires,BIOSINTEX,Supply Chain,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arbfb712ba49f1357814fe41ad201b2b26,0.38928747
77,opcionempleo::2467395,opcionempleo,Gerente Administrativo Contable Lomas De Zamora,ICARS,Gerente de Operaciones,"Lomas de Zamora, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar2e0e2467395e1f9cbbeb9f8723061f35,0.38894156
78,linkedin::4398378535,linkedin,Data Entry Clerk,Prism Data Consulting,Excel / VBA,Estados Unidos,,https://www.linkedin.com/jobs/view/4398378535,0.38808727
79,opcionempleo::80648,opcionempleo,"Consultor Erp Modulos Manufactura, Supply Chain Y Córdoba (Argentina)",RHvision,Supply Chain,Argentina,,https://www.opcionempleo.com.ar/jobad/ar8069b1550d7cfbd68fa12dba80648e05,0.3871838
80,opcionempleo::89097,opcionempleo,"Consultor ERP Modulos Manufactura, Supply Chain y (Córdoba)",RHvision,Supply Chain,Argentina,,https://www.opcionempleo.com.ar/jobad/ard89097bd7873fd7dcad464f49731a408,0.38627768
81,opcionempleo::224876671621,opcionempleo,Junior L1 Genesys Support Engineer,Miratech,Continuous Improvement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar224876671621db2c19eb6797790cbafe,0.3862319
82,opcionempleo::10495,opcionempleo,Gerente de Operaciones - Tecnologia/ It (Buenos Aires),,Gerente de Operaciones,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arb491f10495b5bd8c91d58cae0f20321b,0.38590646
83,opcionempleo::jobadara4ad2025add7b46a9e6aba11c2023a41,opcionempleo,Asesor telefónico (Patient Support Program) HORARIO 12:00 A 20:00 (Buenos Aires),AXA,Excel / VBA,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ara4ad2025add7b46a9e6aba11c2023a41,0.38410032
84,opcionempleo::24693,opcionempleo,Analista Contable Sr,Talent Solutions RRHH,Excel / VBA,"San Isidro, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar0f0e953d812a5cb1e4cb411dcd24693d,0.38132972
85,opcionempleo::92003,opcionempleo,JEFE DE DEPOSITO/ALMACEN,Kando SRL,Excel / VBA,Neuquén,,https://www.opcionempleo.com.ar/jobad/ar7a674f85ee92003cc1a6819ddbf88866,0.38099062
86,opcionempleo::3818429,opcionempleo,Asistente de Compras (San Nicolás),,Compras / Procurement,"San Nicolás, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arca4b8fdd613bf9f3818429eb7cb574af,0.38087893
87,opcionempleo::77793,opcionempleo,Personal Para Dpto De Compras Resida En Zona Buenos Aires,Amodil,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arfeb5510d699e8a2ead3f231d9d77793c,0.38067865
88,opcionempleo::91449,opcionempleo,Analista de Compras,DREAMCO,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arbe6caf8c9e9c8ebaabdf91449e8ee622,0.3802393
89,opcionempleo::22217,opcionempleo,Ingeniero Industrial (Mendoza),Gastrosud,Ingeniero Industrial,Mendoza,,https://www.opcionempleo.com.ar/jobad/are5f89cad966bba02f259f22217b3e815,0.37978065
90,opcionempleo::36450,opcionempleo,"Analista de Control de Gestión (BI, Data Analytics y Automatización) Malvinas Argentinas",People Process,Control de Gestión,"Buenos Aires, Argentina",,https://www.opcionempleo.com.ar/jobad/ar9a1e80fa9d36450c26f9945896bdb935,0.37902346
91,opcionempleo::jobadar8b2f6e9290d202bce0b2f4606cae20a3,opcionempleo,Analista de Pago a Proveedores,SportClub,Excel / VBA,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar8b2f6e9290d202bce0b2f4606cae20a3,0.3787813
92,linkedin::4397962439,linkedin,Data Analyst,Analytica,BI / Analytics,"San Antonio, Texas, Estados Unidos",,https://www.linkedin.com/jobs/view/4397962439,0.37834907
93,opcionempleo::jobadar9ac0602bc5dd14adb0019ab5b285e549,opcionempleo,Analista de Compras (Núñez),Grupo Tergolaf,Compras / Procurement,"Nuñez, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar9ac0602bc5dd14adb0019ab5b285e549,0.37674052
94,bumeran::1118222796,bumeran,Analista Ssr. de Business Intelligence,Coppel S A,BI / Analytics,"General Pacheco, Buenos Aires",Presencial,https://www.bumeran.com.ar/empleos/analista-ssr.-de-business-intelligence-coppel-s-a-1118222796.html,0.3766299
95,opcionempleo::90407,opcionempleo,Gerente de Operaciones (Munro),iTalent Connection,Gerente de Operaciones,Argentina,,https://www.opcionempleo.com.ar/jobad/ar8d90407f6a09365090ac514529cd487d,0.3761286
96,opcionempleo::4080985,opcionempleo,Fraud Data Scientist L2,Vana,Data Scientist,Córdoba,,https://www.opcionempleo.com.ar/jobad/arb6fdaf2eb07cb0dbae4080985def75e2,0.374199
97,opcionempleo::jobadar4186dc2121fddfdf3dcbdfb3959b0505,opcionempleo,Ingenieros para cotizaciónes del rubro industrial,Nexo Group,Ingeniero Industrial,Córdoba,,https://www.opcionempleo.com.ar/jobad/ar4186dc2121fddfdf3dcbdfb3959b0505,0.37418616
98,linkedin::4399057628,linkedin,Python Developer,Constellation Inc,Python Developer,"Washington, Distrito de Columbia, Estados Unidos",,https://www.linkedin.com/jobs/view/4399057628,0.37302202
99,opcionempleo::97443,opcionempleo,Analista Supply Chain IT con Inglés Avanzado (Buenos Aires),Cider,Supply Chain,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arde1699f97443ad9c1ed68deae6735718,0.37256265
100,linkedin::4398904233,linkedin,Project Engineer,"Spriggs Excavation, Inc.",Ingeniero Industrial,Estados Unidos,,https://www.linkedin.com/jobs/view/4398904233,0.37252596
101,opcionempleo::29878,opcionempleo,Data Scientist Ssr (Buenos Aires),BairesHR,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar29878fcbaa4e827303be34769700c405,0.37239796
102,opcionempleo::49081961,opcionempleo,Jefe de Compras Capex (Rosario),COFCO International,Compras / Procurement,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ard54b7bbc8cf49081961ab1fa896a1cda,0.37224644
103,opcionempleo::17196,opcionempleo,Managed Services - Commercial controller Manager - EY Global Delivery Services,EY,Continuous Improvement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar07b54b87a16e56c17196cede8c32ff47,0.37194145
104,linkedin::4344255778,linkedin,Engineer- Manufacturing I USA,First Solar,Ingeniero Industrial,Estados Unidos,,https://www.linkedin.com/jobs/view/4344255778,0.3718713
105,opcionempleo::18944654,opcionempleo,Influencer Campaign Project Manager,Full Circle Agency,Continuous Improvement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arf18944654f00ba6d42eb0616f4aeaa68,0.3705096
106,linkedin::4390287290,linkedin,BI Analyst,Eliassen Group,BI / Analytics,Estados Unidos,,https://www.linkedin.com/jobs/view/4390287290,0.3704909
107,linkedin::4398543541,linkedin,Data Analyst,Webologix Ltd/ INC,Python Developer,Estados Unidos,,https://www.linkedin.com/jobs/view/4398543541,0.36820093
108,opcionempleo::4367569728,opcionempleo,Analista de datos,Grupo Gestión,Excel / VBA,"Barracas, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar4367569728b22db517b662b6175275c0,0.36775827
109,opcionempleo::9852854,opcionempleo,Ingeniero de Ventas (Buenos Aires),Generalistas,Ingeniero Industrial,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar498e6d921acd1df9852854adff4a215a,0.36772466
110,opcionempleo::6187870,opcionempleo,Ingeniero de Ciberseguridad OT / ICS – Proyecto Industrial,MaxIT Consulting - Max Corporate Group,Ingeniero Industrial,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar0a6187870a34d398670f6312add7f2d4,0.36659068
111,opcionempleo::37837,opcionempleo,Gerente de Operaciones (Buenos Aires),Generalistas,Gerente de Operaciones,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar1ddef01a366a54db37837c6d8030c77f,0.36647892
112,linkedin::4383756491,linkedin,Supply Chain Consultant - Manhattan Labor Management (MLM) Required,Open Sky Group,Supply Chain,Estados Unidos,,https://www.linkedin.com/jobs/view/4383756491,0.36623365
113,opcionempleo::611694,opcionempleo,Jefe de Business Intelligence (Bi) -actuario (Buenos Aires),Hucap,BI / Analytics,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar611694c945fca0381e1c87af45279b21,0.3662178
114,opcionempleo::82886083,opcionempleo,Consultor B2B Jr,Increxa,Excel / VBA,"Retiro, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar9ffafacaf82886083f8e2f7b005c5da7,0.36606836
