rank_optimizado,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,score_optimizado,similitud_tfidf
1,linkedin::4450163523,linkedin,Analista de datos y control presupuestario,Scienza Argentina,Data Analyst,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4450163523,1.0,0.1863301081978283
2,getonboard::analista-control-de-gestion-bnp-paribas-cardif-santiago,getonboard,Analista Control de Gestión,,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/analista-control-de-gestion-bnp-paribas-cardif-santiago,0.9877252731395609,0.1840429570138239
3,opcionempleo::2522622576,opcionempleo,Ingeniero/A De Proyectos Armx (Agregados & Hormigones),Lafarge Africa Plc,Ingeniero de Datos,Córdoba,,https://www.opcionempleo.com.ar/jobad/arf2522622576faaa3b02b8d716b2bddb8,0.9637847360905968,0.1795821141551763
4,opcionempleo::18422,opcionempleo,Ingeniero/A De Proyectos Rmx,Lafarge Africa Plc,Ingeniero de Datos,Córdoba,,https://www.opcionempleo.com.ar/jobad/arac27d34e18422a2644df8ed4b5775086,0.9546324911751523,0.1778767753698285
5,opcionempleo::jobadar742e22f0d73e576d6925ab2a34b65d71,opcionempleo,Ingeniero industrial JR. (Rosario),Consultores de Empresas,Ingeniero de Datos,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar742e22f0d73e576d6925ab2a34b65d71,0.9047687497431651,0.1685856590336578
6,getonboard::kam-control-de-gestion-bnp-paribas-cardif-santiago,getonboard,KAM Control de Gestión,,Ingeniero de Datos,Chile,Híbrido,https://www.getonbrd.com/jobs/kam-control-de-gestion-bnp-paribas-cardif-santiago,0.8424630482922646,0.1569762309409699
7,opcionempleo::68414,opcionempleo,Ingeniero De Confiabilidad De Área,Mars Uk,Ingeniero de Datos,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar096ddce90c91c68414c74945ee06b749,0.8118257781006201,0.1512675850712747
8,opcionempleo::jobadar8f16f26e238e677a3a3fe37a837c49d9,opcionempleo,Ingeniero/a Logístico/a (Rosario),Grupo Gestión,Ingeniero de Datos,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar8f16f26e238e677a3a3fe37a837c49d9,0.8104429005429624,0.151009913346332
9,opcionempleo::jobadar8f037c8184adf02b690e4650cd9ac4bb,opcionempleo,Ingeniero/a Planificación Operativa (Buenos Aires),YPF,Ingeniero de Datos,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar8f037c8184adf02b690e4650cd9ac4bb,0.7839738424479279,0.1460779308875896
10,bumeran::1118370503,bumeran,ingeniero junior de sistema de gestión integrado,Randstad Argentina,Software Engineer,"Rosario, Santa Fe",Presencial,https://www.bumeran.com.ar/empleos/ingeniero-junior-de-sistema-de-gestion-integrado-randstad-argentina-1118370503.html,0.7551005424725952,0.1406979657791575
11,opcionempleo::59556390,opcionempleo,Ingeniero de Planta Metalúrgica Industrial (req208537)- Permanente (Rosario),Manpower,Ingeniero de Datos,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar59556390c5a0f5168ff141bc91d7fab4,0.7490598189677868,0.1395723971149134
12,opcionempleo::90215,opcionempleo,Ingeniero Estimador de Costos Senior (Mendoza),WSP,Ingeniero de Datos,Mendoza,,https://www.opcionempleo.com.ar/jobad/ar8e098e4a90215f77fee1cb6f040b1bb3,0.7439114776732826,0.1386131061244691
13,opcionempleo::jobadar336effb7087df70b01cc8f1b3f740fa5,opcionempleo,Ingeniero De Mejora Continua,Grupo Cepas,Ingeniero de Datos,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar336effb7087df70b01cc8f1b3f740fa5,0.7379629984435447,0.1375047253459795
14,opcionempleo::jobadar13e060fd6191c59dc66dcf7d1dc20ea4,opcionempleo,Senior Data Analytics Engineer,MercadoLibre,Data Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar13e060fd6191c59dc66dcf7d1dc20ea4,0.7188454577514296,0.1339425519203413
15,opcionempleo::2520428,opcionempleo,Ingeniero de Proceso (req209393) - Eventual (Bahía Blanca),Manpower,Ingeniero de Datos,"Bahía Blanca, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar0e61db8dba2beb4405a8c2520428d454,0.7104921307106355,0.1323860755890183
16,jobrapido::5659524548920344576,jobrapido,Desarrollador Full Stack Senior (San Nicolás),C&S informática,Desarrollador Full Stack,CABA,,https://ar.jobrapido.com/jobpreview/5659524548920344576?redirectTo=https%253A%252F%252Fwww.kitempleo.com.ar%252Fempleo%252F53035996%252Fdesarrollador-full-stack-senior-san-nicolas&w=Python&p=5,0.6804995718471372,0.1267975588508529
17,linkedin::4439979875,linkedin,Analista de Calidad y Gestión de Datos,CRESUD S.A.C.I.F.Y.A,Data Analyst,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4439979875,0.674233855349876,0.1256300672179813
18,getonboard::vp-of-engineering-kastor-acp-s-a-santiago,getonboard,Head of Engineering Kastor,,Software Engineer,Chile,Híbrido,https://www.getonbrd.com/jobs/vp-of-engineering-kastor-acp-s-a-santiago,0.6731157377207153,0.1254217282391619
19,opcionempleo::jobadar88aa0938c7875d110ca96fb7b090b0fd,opcionempleo,Especialista Del Dato,Aesa (A-Evangelista Sa),Ingeniero de Datos,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar88aa0938c7875d110ca96fb7b090b0fd,0.6660718188481914,0.1241092340735078
20,opcionempleo::024194465507244,opcionempleo,Ingeniero electromecánico (Rosario),Consultores de Empresas,Ingeniero de Datos,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar911d94d820ce024194465507244d20ac,0.6654000520952376,0.1239840637017462
21,getonboard::lider-operaciones-logisticas-agrosuper-rancagua,getonboard,Líder Operaciones Logísticas,,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/lider-operaciones-logisticas-agrosuper-rancagua,0.6627543461376469,0.1234910890244087
22,opcionempleo::43609,opcionempleo,Ingeniero Industrial - para empresa líder en el rubro del caucho (Rosario),Ceta Capital Humano,Ingeniero de Datos,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar43609fd44eec944c3223be48d7123153,0.6614053981525573,0.1232397394003937
23,linkedin::4453465914,linkedin,Ssr. - Consultor de Datos,PwC Argentina,Data Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4453465914,0.6417130256046393,0.1195704574928682
24,opcionempleo::931558,opcionempleo,Data Analyst,Experis,Data Analyst,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ara5d20ea2126dcbb931558e6c42066e85,0.6352364825405706,0.1183636825229924
25,linkedin::4426875646,linkedin,FP&A Data Analyst,Elevva,Data Analyst,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4426875646,0.6290375256451983,0.117208630213964
26,zonajobs::2189140,zonajobs,Programador/a de Mantenimiento,Mec Consultores Asociados,Software Engineer,"Carcarañá, Santa Fe",Presencial,https://www.zonajobs.com.ar/empleos/programador-a-de-mantenimiento-mec-consultores-asociados-2189140.html,0.6231333134629541,0.1161084977192235
27,linkedin::4461684214,linkedin,ANALISTA DE SEGUIMIENTO COMERCIAL,Banco Macro,Data Analyst,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4461684214,0.620490385778342,0.1156160407177907
28,opcionempleo::96112,opcionempleo,Arquitecto Python Semi Senior (San Nicolás),,Python Developer,"San Nicolás de los Arroyos, Provincia de Buenos Aires Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar96112ec8add0494c34fd0e7a14ab269d,0.6096565559513762,0.1135973720339353
29,linkedin::4443914274,linkedin,Analista BI Retail,Increxa,Data Analyst,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4443914274,0.6057989795059235,0.1128785893974727
30,getonboard::consultor-sap-mm-lisit-santiago-6165,getonboard,Consultor SAP MM,,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/consultor-sap-mm-lisit-santiago-6165,0.6044380156713318,0.1126250008589199
31,getonboard::it-product-manager-tcit-santiago-7796,getonboard,IT Product Manager,,NLP Engineer,Chile,Híbrido,https://www.getonbrd.com/jobs/it-product-manager-tcit-santiago-7796,0.5803060767165559,0.1081284940624531
32,opcionempleo::29726,opcionempleo,Ingeniero/A De Peforación Y Terminación,Bettina Poma,Ingeniero de Datos,Neuquén,,https://www.opcionempleo.com.ar/jobad/ar9d4f6eb89e0859caea29726d280efbc1,0.5696511541553826,0.1061431611887902
33,jobrapido::2357274123744313344,jobrapido,Empleo: Desarrollador Full Stack - Rosario,,Desarrollador Full Stack,"Rosario, Santa Fe",,https://ar.jobrapido.com/jobpreview/2357274123744313344?redirectTo=https%253A%252F%252Fwww.goempleo.com%252Fview.php%253Fjob_id%253D1266248&w=Python&p=2,0.5655513744192706,0.1053792487869732
34,opcionempleo::37246,opcionempleo,Ingeniero De Proyecto,SLC - Recursos Humanos,Ingeniero de Datos,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar04dd90ea35bbafd92b4c7a50b37246de,0.5652326588043054,0.1053198624719524
35,opcionempleo::jobadar5a8beab202c4581deec075b7a968a747,opcionempleo,Ingeniero. Analista de Proyectos Portuarios. Logística (San Nicolás),SUPLE,Ingeniero de Datos,"San Nicolás, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar5a8beab202c4581deec075b7a968a747,0.5598215927896905,0.1043116179559836
36,linkedin::4461998240,linkedin,CREDIT STRATEGY & PORTFOLIO ANALYST,Banco Macro,Data Scientist,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4461998240,0.5594405985482078,0.1042406272577454
37,opcionempleo::41509,opcionempleo,Ingeniero de Confiabilidad-San Juan,Randstad,Ingeniero de Datos,San Juan,,https://www.opcionempleo.com.ar/jobad/ar47d8aecfe46bfecf44a33f58f4a41509,0.554497918296677,0.1033196571116904
38,linkedin::4459335574,linkedin,Data Engineer,SMS Sudamérica,Data Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4459335574,0.5495727347380857,0.1024019471263239
39,opcionempleo::jobadar9e8e822c746f0a5b872aa97dfeeb4ff6,opcionempleo,Ingeniero/a De Operaciones: Impulsa Calidad Y Eficiencia Bahía Blanca,Randstad,Ingeniero de Datos,"Bahía Blanca, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar9e8e822c746f0a5b872aa97dfeeb4ff6,0.544052775500584,0.1013734125243526
40,opcionempleo::281378947479,opcionempleo,Ingeniero de Operaciones - Experiencia industria Petrolera (Comodoro Rivadavia),Adecco,Ingeniero de Datos,"Comodoro Rivadavia, Chubut",,https://www.opcionempleo.com.ar/jobad/arc6c39ab0514ea6b1db281378947479a9,0.5392556055733981,0.1004795553327767
41,linkedin::4453731451,linkedin,Analista de Producto,Grupo Rotoplas,Data Analyst,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4453731451,0.5363960012887213,0.0999467249570099
42,opcionempleo::21826699,opcionempleo,"Ingeniero Semi Senior especialista en Procesos, Métodos, Tiempos - Bell Ville",Consultores de Empresas,Ingeniero de Datos,"Bell Ville, Córdoba",,https://www.opcionempleo.com.ar/jobad/arba21826699e9a381e2d22916891c78ff,0.5297136930055482,0.098701609731595
43,opcionempleo::jobadarfb3e4c9bea6ab6853e4ca3da4fc79d49,opcionempleo,Ingeniero Estimador De Costos Senior Mendoza,WSP,Ingeniero de Datos,Mendoza,,https://www.opcionempleo.com.ar/jobad/arfb3e4c9bea6ab6853e4ca3da4fc79d49,0.5263764763762195,0.0980797857959726
44,opcionempleo::1750247,opcionempleo,Desarrollador Fullstack – Python / React / Data Warehouse / Microservicios,Rocket Stars,Python Developer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar34cc1750247ad7519585e8dd79d523f8,0.5248019942216043,0.0977864123657476
45,opcionempleo::jobadar95dec5f2bb004cda0ab582b8ce0eedba,opcionempleo,Administrador de Redes de datos y Seguridad - Comunicaciones y Conectividad,Aceitera General Deheza,Ingeniero de Datos,Córdoba,,https://www.opcionempleo.com.ar/jobad/ar95dec5f2bb004cda0ab582b8ce0eedba,0.5141841432698929,0.0958079870490868
46,linkedin::4463071675,linkedin,Analista de Datos AWS - copia,Gador,Data Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4463071675,0.5120254573898764,0.0954057588754982
47,linkedin::4452841977,linkedin,Backend Developer,Urbetrack,Desarrollador Backend,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4452841977,0.5112693980237426,0.0952648822520025
48,linkedin::4463142439,linkedin,Analista de Datos Ssr,Municipalidad de San Miguel,Data Analyst,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4463142439,0.5089586002408322,0.0948343110510895
49,opcionempleo::691575006734105,opcionempleo,Ingeniero Senior General Rodriguez (General Rodríguez),12 PILARES,Ingeniero de Datos,"General Rodríguez, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar691575006734105f1184deea082f3c52,0.5049941920808861,0.0940956224497064
50,getonboard::account-manager-de-medios-codeable-lima-dd1d,getonboard,Account Manager de Medios,,Data Analyst,Peru,Híbrido,https://www.getonbrd.com/jobs/account-manager-de-medios-codeable-lima-dd1d,0.5020342144077323,0.0935440894896045
51,opcionempleo::525538413,opcionempleo,Ingeniero de Proyecto 212874 Permanente,Manpower,Ingeniero de Datos,San Luis,,https://www.opcionempleo.com.ar/jobad/ar4a6447dd525538413c1e0fe9091dc278,0.496697182943849,0.0925496398394839
52,opcionempleo::89140066,opcionempleo,Data Engineer,Max Capital,Data Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar93de7d53fb3e1b6e64a63d89140066b4,0.4937874438724603,0.0920074678434846
53,opcionempleo::312305,opcionempleo,Ingeniero de Proyecto 212874 Permanente (San Luis),ManpowerGroup,Ingeniero de Datos,San Luis,,https://www.opcionempleo.com.ar/jobad/arcab312305f26382b845362ccc271bf9f,0.49271184323420963,0.0918070510601817
54,linkedin::4451563239,linkedin,Machine Learning Specialist,Prex,Machine Learning Engineer,Argentina,,https://www.linkedin.com/jobs/view/4451563239,0.4913406199997733,0.0915515508865458
55,opcionempleo::053537,opcionempleo,Ingenieros/as Civiles O Industriales Para Empresa De Servicios Petroleros Neuquén,Manpower,Ingeniero de Datos,Neuquén,,https://www.opcionempleo.com.ar/jobad/ardd9e0094fbd2c3ae053537c13aa90266,0.49091417514601393,0.0914720913708044
56,opcionempleo::jobadare1f23a4bd5fb1bb4184efca92ac7eda1,opcionempleo,BI Data Analyst Junior (Permanente),Manpower,Data Analyst,"Buenos Aires Quilmes, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/are1f23a4bd5fb1bb4184efca92ac7eda1,0.48966251001180866,0.0912388684709205
57,opcionempleo::jobadarceb4fd6c6cf77dd5beda6f683ee61dd0,opcionempleo,BI Data Analyst Junior (req212253) - permanente,Manpower,Data Analyst,"Quilmes, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arceb4fd6c6cf77dd5beda6f683ee61dd0,0.48966251001180866,0.0912388684709205
58,opcionempleo::34559,opcionempleo,BI Data Analyst Junior Permanente,Manpower,Data Analyst,"Quilmes, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar8ed34559e366d0fad674aec0a2bf4ee5,0.4885733414487774,0.0910359235747252
59,getonboard::ingeniero-a-de-procesos-witi-santiago-fc30,getonboard,Ingeniero/a de Procesos,,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/ingeniero-a-de-procesos-witi-santiago-fc30,0.48830310062178856,0.0909855695721929
60,opcionempleo::4919297730483,opcionempleo,BI Data Analyst Junior (Permanente) (Quilmes),Manpower,Data Analyst,"Quilmes, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar21e4919297730483ee924b52be2b36c9,0.488192317316162,0.090964927306869
61,linkedin::4453275986,linkedin,Analista de Demanda (Data Scientist) - Jóvenes Profesionales Molinos,Inspired Way,Data Scientist,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4453275986,0.48095101448995176,0.089615654567768
62,opcionempleo::jobadar65b0ce545ef4656b23e7313c0d75c7bb,opcionempleo,Ingeniero/a Mecánico Rosario Y Bahía Blanca 3 Eventual,Manpower,Ingeniero de Datos,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar65b0ce545ef4656b23e7313c0d75c7bb,0.4790509229312418,0.0892616103020478
63,linkedin::4449438332,linkedin,Desarrollador Semi Sr Full Stack .Net,LinkSolution,Desarrollador Full Stack,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4449438332,0.4776393308656319,0.0889985881997315
64,linkedin::4454852096,linkedin,Desarrollador Python,Provincia NET,Desarrollador Backend,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4454852096,0.47473354967584613,0.0884571536762395
65,linkedin::4465373097,linkedin,Analista de datos,NergisTalent,Data Analyst,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4465373097,0.474192001435608,0.0883562469340416
66,opcionempleo::641035,opcionempleo,Ingeniero De Producto/Proyectos (Buenos Aires),Gabriela Pipman \u0026 Asociados,Ingeniero de Datos,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar41bf641035b12124370e2a213be90030,0.4713537427818981,0.0878273938920024
67,linkedin::4464391136,linkedin,Analista Ssr. de Datos,Veolia | Argentina,Data Analyst,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4464391136,0.4704825862009967,0.0876650711920258
68,jobrapido::2073912385080393728,jobrapido,Oferta de empleo: Desarrollador JAVA Importante Fintech SSR o SR - Zona Rosario Centro,,Desarrollador Full Stack,"Rosario, Santa Fe",,https://ar.jobrapido.com/jobpreview/2073912385080393728?redirectTo=https%253A%252F%252Fwww.goempleo.com%252Fview.php%253Fjob_id%253D1258631&w=Python&p=4,0.46986101211896414,0.0875492532260677
69,opcionempleo::601181,opcionempleo,Proyectista Eléctrico E Instrumentación - Ingeniero Semi Senior,Talentive Consultora,Ingeniero de Datos,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar3570c4cbaaf0d601181ed8be3c0e8e9a,0.4693980863368054,0.0874629962149905
70,opcionempleo::33180,opcionempleo,Ingeniero de Data Science (San Nicolás),C\u0026S informatica,Ingeniero de Datos,"San Nicolás, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arf1f33180cc9f12abeb40e2570e94e6b4,0.46931773966587603,0.0874480252111029
71,jobrapido::4148995391414599680,jobrapido,Empleo: Desarrollador JAVA Importante Fintech SSR o SR - Zona Rosario Centro,,Desarrollador Full Stack,"Rosario, Santa Fe",,https://ar.jobrapido.com/jobpreview/4148995391414599680?redirectTo=https%253A%252F%252Fwww.goempleo.com%252Fview.php%253Fjob_id%253D1259523&w=Python&p=4,0.46889228628358354,0.0873687504363472
72,getonboard::consultor-a-sap-sd-mm-lisit-santiago,getonboard,Consultor/a SAP SD/MM,,NLP Engineer,Chile,Remoto,https://www.getonbrd.com/jobs/consultor-a-sap-sd-mm-lisit-santiago,0.4687609483894354,0.0873442782323201
73,linkedin::4456285434,linkedin,Analista Sr de Data Insights,GDN AR,Data Scientist,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4456285434,0.46851985310312927,0.0872993549215367
74,jobrapido::5605561067984912384,jobrapido,Desarrollador/a Full Stack PHP (Rosario),Neo-Biz Consultores,Desarrollador Full Stack,"Rosario, Santa Fe",,https://ar.jobrapido.com/jobpreview/5605561067984912384?redirectTo=https%253A%252F%252Fwww.kitempleo.com.ar%252Fempleo%252F52873762%252Fdesarrollador-a-full-stack-php-rosario&w=Python&p=2,0.46827028652288377,0.087252853153637
75,opcionempleo::jobadare88dde1480e2c440fd4e81b0c9f673b2,opcionempleo,Staff Software Engineer,Crombie,Software Engineer,Santa Fe,,https://www.opcionempleo.com.ar/jobad/are88dde1480e2c440fd4e81b0c9f673b2,0.4649274523542684,0.0866299825013115
76,linkedin::4465358209,linkedin,Analista de Datos Ssr,Universia Argentina,Data Engineer,"Colonia Domingo Faustino Sarmiento, San Juan, Argentina",,https://www.linkedin.com/jobs/view/4465358209,0.4644868249608022,0.086547880351412
77,jobrapido::7516925349834260480,jobrapido,Desarrollador/A Full Stack Php (Rosario),NEO BIZ S. R. L.,Desarrollador Full Stack,"Rosario, Santa Fe",,https://ar.jobrapido.com/jobpreview/7516925349834260480?redirectTo=https%253A%252F%252Fwww.kitempleo.com.ar%252Fempleo%252F52580871%252Fdesarrollador-a-full-stack-php-rosario&w=Python&p=2,0.46423942552975767,0.0865017823886574
78,opcionempleo::06953,opcionempleo,Senior Data Engineer,IOL Inversiones,Data Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar7758c7ea06953f0430fb1f07b08cff77,0.4637030563503479,0.086401840661424
79,opcionempleo::7477102,opcionempleo,Senior Data Engineer (Buenos Aires),IOL Inversiones,Data Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar41a6286a26ef64e3f7477102a3c79cf2,0.4632698746706909,0.0863211258721842
80,opcionempleo::85626,opcionempleo,Ingeniero/a Analista de Costos Productivos con manejo en Base Datos (Área Metropolitana Córdoba),In.Corporate,Ingeniero de Datos,Argentina,,https://www.opcionempleo.com.ar/jobad/ar9625dca094fe3107b6f441b85626d0de,0.46326091726912416,0.0863194568385811
81,linkedin::4449376639,linkedin,Analista de Datos CX,Federada,Data Scientist,"Rosario, Santa Fe",,https://www.linkedin.com/jobs/view/4449376639,0.46199054859905025,0.0860827489068351
82,opcionempleo::jobadar00b4a673d353ff5238aad4e83bb7c9c5,opcionempleo,Senior Information Security Grc Analyst,Pss,Data Analyst,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar00b4a673d353ff5238aad4e83bb7c9c5,0.46055955110803615,0.0858161109895036
83,getonboard::head-of-sales-b2b-tech-rankmi-santiago,getonboard,Head of Sales B2B Tech,,NLP Engineer,Chile,Híbrido,https://www.getonbrd.com/jobs/head-of-sales-b2b-tech-rankmi-santiago,0.4587013890557198,0.0854698794532464
84,opcionempleo::671968,opcionempleo,Proyectista Instrumentación y Control (Bahía Blanca) / Ingeniero/a electrónico excluyente,Adecco,Ingeniero de Datos,"Bahía Blanca, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arcd14cfce57e163c771f671968b746868,0.45706636404480877,0.0851652250660572
85,opcionempleo::66421,opcionempleo,Ingeniero Mecánico de Proyecto (req209389) - Eventual (Bahía Blanca),Manpower,Ingeniero de Datos,"Bahía Blanca, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arb1c3f66421fb6d8b7127e23ee99cec7d,0.4553571980012192,0.0848467559722271
86,opcionempleo::9718770,opcionempleo,Ingeniero De Proyectos Renovables,Msu Energy,Ingeniero de Datos,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar4caf9a62cb9718770d4b98808570a902,0.44728838333847737,0.0833432928630902
87,opcionempleo::484882351,opcionempleo,"Gerente de plantaciones/ Ingeniero Agrónomo - Rodeo del Medio, Mendoza (Maipú)",Adecco,Ingeniero de Datos,"Maipú, Mendoza",,https://www.opcionempleo.com.ar/jobad/arb484882351e4cdae158a37ab26970064,0.4454394754546376,0.0829987856570465
88,opcionempleo::44334,opcionempleo,Junior Data Analyst (Buenos Aires),,Data Analyst,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arec495f44334a4b530452a54f8a4387d6,0.44453758136742394,0.082830735634193
89,opcionempleo::75491,opcionempleo,"Ingeniero/a de Diagnóstico – Técnicas Predictivas (Vibraciones, Termografía, Alineación) (Ezeiza)",Adecco,Ingeniero de Datos,"Ezeiza, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar75491ed87acc83f538e7a8cda917da01,0.44121849685926334,0.0822122902586697
90,opcionempleo::54908480,opcionempleo,Ingeniero/a Mecanico/a (Rosario),Adecco,Ingeniero de Datos,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar7adb5d439f196c6d4355db54908480cf,0.43967873271553465,0.0819253858391696
91,linkedin::4463026530,linkedin,Vendor Data Analyst (eventual),Randstad Argentina,Data Analyst,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4463026530,0.4393832632220245,0.0818703309764747
92,opcionempleo::929812,opcionempleo,Payroll Analyst 100% Remoto Usd Buenos Aires,TripleTen,Data Analyst,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arc1c26ef08bf789ca929812e5920d4e31,0.43621715468587446,0.0812803896303678
93,getonboard::data-scientist-gcp-factor-it-santiago,getonboard,Data Scientist – GCP,,Data Scientist,Chile,Remoto,https://www.getonbrd.com/jobs/data-scientist-gcp-factor-it-santiago,0.43536407582662684,0.0811214353542229
94,linkedin::4450809586,linkedin,Coordinador/a Datalización & IA,YPF SA,Data Scientist,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4450809586,0.4335125501934204,0.0807764403826565
95,bumeran::1118425671,bumeran,Programador/a Genexus,B&B Consultores,Software Engineer,"Rosario, Santa Fe",Híbrido,https://www.bumeran.com.ar/empleos/programador-a-genexus-bb-consultores-1118425671.html,0.43138326886563216,0.0803796911624661
96,getonboard::solutions-architect-senior-ai-track-factor-it-bogota,getonboard,Solutions Architect Senior + AI Track,,Machine Learning,Colombia,Híbrido,https://www.getonbrd.com/jobs/solutions-architect-senior-ai-track-factor-it-bogota,0.4294942156857816,0.0800277036790731
97,opcionempleo::jobadara156ebb3e482bfeefaa2836a517c5e95,opcionempleo,Analista desarrollador Semi Sr / Senior Botmaker - Híbrido,Business Commercial Management,NLP Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ara156ebb3e482bfeefaa2836a517c5e95,0.4279884567784293,0.0797471354589463
98,getonboard::ingeniero-de-estudios-actuariales-bnp-paribas-cardif-santiago,getonboard,Ingeniero de Estudios Actuariales,,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/ingeniero-de-estudios-actuariales-bnp-paribas-cardif-santiago,0.4279389359477555,0.0797379082372088
99,opcionempleo::72848,opcionempleo,Data Scientist,Grupo Petersen,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arc5fbb6ab86c72848b815eb2fa9c7bf63,0.4273757104795366,0.0796329623747758
100,bumeran::1118425687,bumeran,Programador/a de Abastecimiento,Maincal sa,Software Engineer,"Pérez, Santa Fe",Presencial,https://www.bumeran.com.ar/empleos/programador-a-de-abastecimiento-maincal-sa-1118425687.html,0.42655014854576107,0.0794791353303314
101,linkedin::4454317091,linkedin,Risk Data Science,Prex,Data Scientist,Argentina,,https://www.linkedin.com/jobs/view/4454317091,0.4239178465841658,0.078988658221018
102,getonboard::analista-de-control-siniestros-masivos-bnp-paribas-cardif-santiago,getonboard,Analista de Control Siniestros Masivos,,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/analista-de-control-siniestros-masivos-bnp-paribas-cardif-santiago,0.42256740743038856,0.0787370307473801
103,jobrapido::4895336479825330176,jobrapido,Desarrollador Full Stack (Rosario),Grupo Gamma,Desarrollador Full Stack,"Rosario, Santa Fe",,https://ar.jobrapido.com/jobpreview/4895336479825330176?redirectTo=https%253A%252F%252Fwww.kitempleo.com.ar%252Fempleo%252F52963257%252Fdesarrollador-full-stack-rosario&w=Python&p=2,0.42252580742808316,0.0787292794144495
104,getonboard::cientifico-de-datos-atentus-santiago,getonboard,Científico de Datos,,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/cientifico-de-datos-atentus-santiago,0.4222105947602118,0.0786705458039397
